OGNTsort	extendedStrNo	RMAC	SpanishDescription
000371	G1096	V-2RAI-3S	Verbo, (2R) peRfecto segundo, Activa, Indicativo, (3) tercera, Singular
000372	G2443	CONJ	CONJunción o partícula cunjuntiva
000373	G4137	V-APS-3S	Verbo, Aoristo, Pasivo, Subjuntivo, (3) tercera, Singular
000374	G3588	T-NSN	(T) artículo determinado, Nominativo, Singular, Neutro
000375	G2036	V-APP-NSN	Verbo, Aoristo, Pasivo, Participio, Nominativo, Singular, Neutro
000376	G5259	PREP	PREPosición
000377	G2962	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000378	G1223	PREP	PREPosición
000379	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000380	G4396	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000381	G3004	V-PAP-GSM	Verbo, Presente, Activa, Participio, Genitivo, Singular, Masculino
000382	G2400	INJ	INterJección
000383	G3588	T-NSF	(T) artículo determinado, Nominativo, Singular, Femenino
000384	G3933	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
000385	G1722	PREP	PREPosición
000386	G1064	N-DSF	SustaNtivo, Dativo, Singular, Femenino
000387	G2192	V-FAI-3S	Verbo, Futuro, Activa, Indicativo, (3) tercera, Singular
000388	G2532	CONJ	CONJunción o partícula cunjuntiva
000389	G5088	V-FDI-3S	Verbo, Futuro, Deponente medio, Indicativo, (3) tercera, Singular
000390	G5207	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000391	G2532	CONJ	CONJunción o partícula cunjuntiva
000392	G2564	V-FAI-3P	Verbo, Futuro, Activa, Indicativo, (3) tercera, Plural
000393	G3588	T-ASN	(T) artículo determinado, Acusativo, Singular, Neutro
000394	G3686	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
000395	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000396	G1694	N-ASM-T	SustaNtivo, Acusativo, Singular, Masculino, Título
000397	G3739	R-NSN	pronombre Relativo, Nominativo, Singular, Neutro
000398	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
000399	G3177	V-PPP-NSN	Verbo, Presente, Pasivo, Participio, Nominativo, Singular, Neutro
000400	G3326	PREP	PREPosición
000401	G1473	P-1GP	pronombre Personal, (1) primera, Genitivo, Plural
000402	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
000403	G2316	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
000404	G1453	V-APP-NSM	Verbo, Aoristo, Pasivo, Participio, Nominativo, Singular, Masculino
000405	G1161	CONJ	CONJunción o partícula cunjuntiva
000406	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
000407	G2501	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000408	G575	PREP	PREPosición
000409	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000410	G5258	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000411	G4160	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000412	G5613	CONJ	CONJunción o partícula cunjuntiva
000413	G4367	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000414	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
000415	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
000416	G32	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
000417	G2962	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000418	G2532	CONJ	CONJunción o partícula cunjuntiva
000419	G3880	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
000420	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
000421	G1135	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
000422	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000423	G2532	CONJ	CONJunción o partícula cunjuntiva
000424	G3756	PRT-N	PaRTícula, Negativo
000425	G1097	V-IAI-3S	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Singular
000426	G846	P-ASF	pronombre Personal, Acusativo, Singular, Femenino
000427	G2193	PREP	PREPosición
000428	G3739	R-GSM	pronombre Relativo, Genitivo, Singular, Masculino
000429	G5088	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
000430	G5207	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000431	G2532	CONJ	CONJunción o partícula cunjuntiva
000432	G2564	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000433	G3588	T-ASN	(T) artículo determinado, Acusativo, Singular, Neutro
000434	G3686	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
000435	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000436	G2424	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000437	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000438	G1161	CONJ	CONJunción o partícula cunjuntiva
000439	G2424	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000440	G1080	V-APP-GSM	Verbo, Aoristo, Pasivo, Participio, Genitivo, Singular, Masculino
000441	G1722	PREP	PREPosición
000442	G965	N-DSF-L	SustaNtivo, Dativo, Singular, Femenino, Localización
000443	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000444	G2449	N-GSF-L	SustaNtivo, Genitivo, Singular, Femenino, Localización
000445	G1722	PREP	PREPosición
000446	G2250	N-DPF	SustaNtivo, Dativo, Plural, Femenino
000447	G2264	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000448	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000449	G935	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000450	G2400	INJ	INterJección
000451	G3097	N-NPM	SustaNtivo, Nominativo, Plural, Masculino
000452	G575	PREP	PREPosición
000453	G395	N-GPF	SustaNtivo, Genitivo, Plural, Femenino
000454	G3854	V-2ADI-3P	Verbo, (2A) Aoristo segundo, Deponente medio, Indicativo, (3) tercera, Plural
000455	G1519	PREP	PREPosición
000456	G2414	N-APN-L	SustaNtivo, Acusativo, Plural, Neutro, Localización
000457	G3004	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
000458	G4226	ADV-I	ADVerbio, Interrogativo
000459	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
000460	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
000461	G5088	V-APP-NSM	Verbo, Aoristo, Pasivo, Participio, Nominativo, Singular, Masculino
000462	G935	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
000463	G3588	T-GPM	(T) artículo determinado, Genitivo, Plural, Masculino
000464	G2453	A-GPM-PG	Adjetivo, Genitivo, Plural, Masculino, (PG) Gentilicio de Persona
000465	G1492	V-2AAI-1P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (1) primera, Plural
000466	G1063	CONJ	CONJunción o partícula cunjuntiva
000467	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000468	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000469	G792	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000470	G1722	PREP	PREPosición
000471	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
000472	G395	N-DSF	SustaNtivo, Dativo, Singular, Femenino
000473	G2532	CONJ	CONJunción o partícula cunjuntiva
000474	G2064	V-2AAI-1P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (1) primera, Plural
000475	G4352	V-AAN	Verbo, Aoristo, Activa, iNfinitivo
000476	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
000477	G191	V-AAP-NSM	Verbo, Aoristo, Activa, Participio, Nominativo, Singular, Masculino
000478	G1161	CONJ	CONJunción o partícula cunjuntiva
000479	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
000480	G935	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
000481	G2264	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000482	G5015	V-API-3S	Verbo, Aoristo, Pasivo, Indicativo, (3) tercera, Singular
000483	G2532	CONJ	CONJunción o partícula cunjuntiva
000484	G3956	A-NSF	Adjetivo, Nominativo, Singular, Femenino
000485	G2414	N-NSF-L	SustaNtivo, Nominativo, Singular, Femenino, Localización
000486	G3326	PREP	PREPosición
000487	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000488	G2532	CONJ	CONJunción o partícula cunjuntiva
000489	G4863	V-2AAP-NSM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Singular, Masculino
000490	G3956	A-APM	Adjetivo, Acusativo, Plural, Masculino
000491	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
000492	G749	N-APM	SustaNtivo, Acusativo, Plural, Masculino
000493	G2532	CONJ	CONJunción o partícula cunjuntiva
000494	G1122	N-APM	SustaNtivo, Acusativo, Plural, Masculino
000495	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000496	G2992	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000497	G4441	V-INI-3S	Verbo, Imperfecto, depoNente medio o pasivo, Indicativo, (3) tercera, Singular
000498	G3844	PREP	PREPosición
000499	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
000500	G4226	ADV-I	ADVerbio, Interrogativo
000501	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
000502	G5547	N-NSM-T	SustaNtivo, Nominativo, Singular, Masculino, Título
000503	G1080	V-PPI-3S	Verbo, Presente, Pasivo, Indicativo, (3) tercera, Singular
000504	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
000505	G1161	CONJ	CONJunción o partícula cunjuntiva
000506	G2036	V-2AAI-3P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Plural
000507	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
000508	G1722	PREP	PREPosición
000509	G965	N-DSF-L	SustaNtivo, Dativo, Singular, Femenino, Localización
000510	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000511	G2449	N-GSF-L	SustaNtivo, Genitivo, Singular, Femenino, Localización
000512	G3779	ADV	ADVerbio o adverbio y partícula combinados
000513	G1063	CONJ	CONJunción o partícula cunjuntiva
000514	G1125	V-RPI-3S	Verbo, peRfecto, Pasivo, Indicativo, (3) tercera, Singular
000515	G1223	PREP	PREPosición
000516	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000517	G4396	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000518	G2532	CONJ	CONJunción o partícula cunjuntiva
000519	G4771	P-2NS	pronombre Personal, (2) segunda, Nominativo, Singular
000520	G965	N-VSF-L	SustaNtivo, Vocativo, Singular, Femenino, Localización
000521	G1093	N-VSF	SustaNtivo, Vocativo, Singular, Femenino
000522	G2448	N-GSM-L	SustaNtivo, Genitivo, Singular, Masculino, Localización
000523	G3760	ADV	ADVerbio o adverbio y partícula combinados
000524	G1646	A-NSF	Adjetivo, Nominativo, Singular, Femenino
000525	G1510	V-PAI-2S	Verbo, Presente, Activa, Indicativo, (2) segunda, Singular
000526	G1722	PREP	PREPosición
000527	G3588	T-DPM	(T) artículo determinado, Dativo, Plural, Masculino
000528	G2232	N-DPM	SustaNtivo, Dativo, Plural, Masculino
000529	G2448	N-GSM-L	SustaNtivo, Genitivo, Singular, Masculino, Localización
000530	G1537	PREP	PREPosición
000531	G4771	P-2GS	pronombre Personal, (2) segunda, Genitivo, Singular
000532	G1063	CONJ	CONJunción o partícula cunjuntiva
000533	G1831	V-FDI-3S	Verbo, Futuro, Deponente medio, Indicativo, (3) tercera, Singular
000534	G2233	V-PNP-NSM	Verbo, Presente, depoNente medio o pasivo, Participio, Nominativo, Singular, Masculino
000535	G3748	R-NSM	pronombre Relativo, Nominativo, Singular, Masculino
000536	G4165	V-FAI-3S	Verbo, Futuro, Activa, Indicativo, (3) tercera, Singular
000537	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000538	G2992	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000539	G1473	P-1GS	pronombre Personal, (1) primera, Genitivo, Singular
000540	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000541	G2474	N-ASM-L	SustaNtivo, Acusativo, Singular, Masculino, Localización
000542	G5119	ADV	ADVerbio o adverbio y partícula combinados
000543	G2264	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000544	G2977	ADV	ADVerbio o adverbio y partícula combinados
000545	G2564	V-AAP-NSM	Verbo, Aoristo, Activa, Participio, Nominativo, Singular, Masculino
000546	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
000547	G3097	N-APM	SustaNtivo, Acusativo, Plural, Masculino
000548	G198	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000549	G3844	PREP	PREPosición
000550	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
000551	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000552	G5550	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000553	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000554	G5316	V-PEP-GSM	Verbo, Presente, (E) ya sea media o pasiva, Participio, Genitivo, Singular, Masculino
000555	G792	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000556	G2532	CONJ	CONJunción o partícula cunjuntiva
000557	G3992	V-AAP-NSM	Verbo, Aoristo, Activa, Participio, Nominativo, Singular, Masculino
000558	G846	P-APM	pronombre Personal, Acusativo, Plural, Masculino
000559	G1519	PREP	PREPosición
000560	G965	N-ASF-L	SustaNtivo, Acusativo, Singular, Femenino, Localización
000561	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
000562	G4198	V-AOP-NPM	Verbo, Aoristo, depOnente pasivo, Participio, Nominativo, Plural, Masculino
000563	G1833	V-AAM-2P	Verbo, Aoristo, Activa, IMperativo, (2) segunda, Plural
000564	G199	ADV	ADVerbio o adverbio y partícula combinados
000565	G4012	PREP	PREPosición
000566	G3588	T-GSN	(T) artículo determinado, Genitivo, Singular, Neutro
000567	G3813	N-GSN	SustaNtivo, Genitivo, Singular, Neutro
000568	G1875	CONJ	CONJunción o partícula cunjuntiva
000569	G1161	CONJ	CONJunción o partícula cunjuntiva
000570	G2147	V-2AAS-2P	Verbo, (2A) Aoristo segundo, Activa, Subjuntivo, (2) segunda, Plural
000571	G518	V-AAM-2P	Verbo, Aoristo, Activa, IMperativo, (2) segunda, Plural
000572	G1473	P-1DS	pronombre Personal, (1) primera, Dativo, Singular
000573	G3704	CONJ	CONJunción o partícula cunjuntiva
000574	G2504	P-1NS-K	pronombre Personal, (1) primera, Nominativo, Singular, Kai
000575	G2064	V-2AAP-NSM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Singular, Masculino
000576	G4352	V-AAS-1S	Verbo, Aoristo, Activa, Subjuntivo, (1) primera, Singular
000577	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
000578	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
000579	G1161	CONJ	CONJunción o partícula cunjuntiva
000580	G191	V-AAP-NPM	Verbo, Aoristo, Activa, Participio, Nominativo, Plural, Masculino
000581	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000582	G935	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000583	G4198	V-AOI-3P	Verbo, Aoristo, depOnente pasivo, Indicativo, (3) tercera, Plural
000584	G2532	CONJ	CONJunción o partícula cunjuntiva
000585	G2400	INJ	INterJección
000586	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
000587	G792	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
000588	G3739	R-ASM	pronombre Relativo, Acusativo, Singular, Masculino
000589	G1492	V-2AAI-3P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Plural
000590	G1722	PREP	PREPosición
000591	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
000592	G395	N-DSF	SustaNtivo, Dativo, Singular, Femenino
000593	G4254	V-IAI-3S	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Singular
000594	G846	P-APM	pronombre Personal, Acusativo, Plural, Masculino
000595	G2193	CONJ	CONJunción o partícula cunjuntiva
000596	G2064	V-2AAP-NSM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Singular, Masculino
000597	G2476	V-API-3S	Verbo, Aoristo, Pasivo, Indicativo, (3) tercera, Singular
000598	G1883	PREP	PREPosición
000599	G3757	ADV	ADVerbio o adverbio y partícula combinados
000600	G1510	V-IAI-3S	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Singular
000601	G3588	T-NSN	(T) artículo determinado, Nominativo, Singular, Neutro
000602	G3813	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
000603	G1492	V-2AAP-NPM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Plural, Masculino
000604	G1161	CONJ	CONJunción o partícula cunjuntiva
000605	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000606	G792	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000607	G5463	V-2AOI-3P	Verbo, (2A) Aoristo segundo, depOnente pasivo, Indicativo, (3) tercera, Plural
000608	G5479	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
000609	G3173	A-ASF	Adjetivo, Acusativo, Singular, Femenino
000610	G4970	ADV	ADVerbio o adverbio y partícula combinados
000611	G2532	CONJ	CONJunción o partícula cunjuntiva
000612	G2064	V-2AAP-NPM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Plural, Masculino
000613	G1519	PREP	PREPosición
000614	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
000615	G3614	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
000616	G1492	V-2AAI-3P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Plural
000617	G3588	T-ASN	(T) artículo determinado, Acusativo, Singular, Neutro
000618	G3813	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
000619	G3326	PREP	PREPosición
000620	G3137	N-GSF-P	SustaNtivo, Genitivo, Singular, Femenino, Persona
000621	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000622	G3384	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
000623	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000624	G2532	CONJ	CONJunción o partícula cunjuntiva
000625	G4098	V-2AAP-NPM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Plural, Masculino
000626	G4352	V-AAI-3P	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Plural
000627	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
000628	G2532	CONJ	CONJunción o partícula cunjuntiva
000629	G455	V-AAP-NPM	Verbo, Aoristo, Activa, Participio, Nominativo, Plural, Masculino
000630	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
000631	G2344	N-APM	SustaNtivo, Acusativo, Plural, Masculino
000632	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
000633	G4374	V-AAI-3P	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Plural
000634	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
000635	G1435	N-APN	SustaNtivo, Acusativo, Plural, Neutro
000636	G5557	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000637	G2532	CONJ	CONJunción o partícula cunjuntiva
000638	G3030	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000639	G2532	CONJ	CONJunción o partícula cunjuntiva
000640	G4666	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
000641	G2532	CONJ	CONJunción o partícula cunjuntiva
000642	G5537	V-APP-NPM	Verbo, Aoristo, Pasivo, Participio, Nominativo, Plural, Masculino
000643	G2596	PREP	PREPosición
000644	G3677	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
000645	G3361	PRT-N	PaRTícula, Negativo
000646	G344	V-AAN	Verbo, Aoristo, Activa, iNfinitivo
000647	G4314	PREP	PREPosición
000648	G2264	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000649	G1223	PREP	PREPosición
000650	G243	A-GSF	Adjetivo, Genitivo, Singular, Femenino
000651	G3598	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
000652	G402	V-AAI-3P	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Plural
000653	G1519	PREP	PREPosición
000654	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
000655	G5561	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
000656	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
000657	G402	V-AAP-GPM	Verbo, Aoristo, Activa, Participio, Genitivo, Plural, Masculino
000658	G1161	CONJ	CONJunción o partícula cunjuntiva
000659	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
000660	G2400	INJ	INterJección
000661	G32	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
000662	G2962	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000663	G5316	V-PEI-3S	Verbo, Presente, (E) ya sea media o pasiva, Indicativo, (3) tercera, Singular
000664	G2596	PREP	PREPosición
000665	G3677	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
000666	G3588	T-DSM	(T) artículo determinado, Dativo, Singular, Masculino
000667	G2501	N-DSM-P	SustaNtivo, Dativo, Singular, Masculino, Persona
000668	G3004	V-PAP-NSM	Verbo, Presente, Activa, Participio, Nominativo, Singular, Masculino
000669	G1453	V-APP-NSM	Verbo, Aoristo, Pasivo, Participio, Nominativo, Singular, Masculino
